,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
259,0,1.22987238052686,0.737,0.296,0,1,Tgfbr2
260,0,1.21036303402646,0.539,0.05,0,1,Podnl1
261,0,1.2062529454454,0.626,0.211,0,1,Sptbn1
262,0,1.20258622993711,0.512,0.039,0,1,Kcnk1
263,0,1.20011845028618,0.652,0.286,0,1,Serpina3g
264,0,1.1990271172853,0.465,0.041,0,1,Rgcc
265,0,1.19655796474357,0.61,0.219,0,1,Mast4
266,0,1.17822834553333,0.595,0.186,0,1,Dennd4c
267,0,1.17771516548601,0.534,0.06,0,1,Gata3
268,0,1.17204284243175,0.533,0.106,0,1,Gdpd5
269,0,1.1663390617514,0.679,0.295,0,1,Dgkd
270,0,1.15886639070496,0.454,0.05,0,1,Slc16a2
271,0,1.15594744461487,0.878,0.638,0,1,Ppm1h
272,0,1.15417773349535,0.459,0.115,0,1,Acyp2
273,0,1.15037762672634,0.508,0.157,0,1,2610035D17Rik
274,0,1.14523165535759,0.994,0.918,0,1,Oaz1
275,0,1.14497836637637,0.399,0.048,0,1,Bmp2
276,0,1.1420440383955,0.416,0.078,0,1,Gas7
277,0,1.13350287872098,0.871,0.59,0,1,Il2rg
278,0,1.13281961743644,0.598,0.201,0,1,Lpxn
279,0,1.13244134217541,0.694,0.404,0,1,Ldlrad4
280,0,1.13123751243947,0.731,0.375,0,1,Zfp608
281,0,1.13004888059433,0.852,0.502,0,1,Tcf7
282,0,1.12722072622275,0.518,0.066,0,1,Xlr4a
283,0,1.12177511973533,0.483,0.079,0,1,Farp1
284,0,1.11591294824049,0.82,0.545,0,1,Diaph1
285,0,1.11437541951752,0.892,0.592,0,1,Hmgn3
286,0,1.11334066076126,0.471,0.048,0,1,Espn
287,0,1.10142210490208,0.74,0.417,0,1,Ppp1cc
288,0,1.0960508589072,0.546,0.169,0,1,Ttc28
289,0,1.09147912489234,0.62,0.246,0,1,Ssbp3
290,0,1.08348866255134,0.911,0.705,0,1,Clint1
291,0,1.08190041514484,0.349,0.027,0,1,Tnc
292,0,1.07854402913825,0.511,0.084,0,1,Ptpn7
293,0,1.07578296863276,0.487,0.064,0,1,Cd96
294,0,1.07453930939452,0.58,0.131,0,1,Serpinb1a
295,0,1.0653609406027,0.324,0.05,0,1,4930414F18Rik
296,0,1.06522039678085,0.747,0.46,0,1,Sfr1
297,0,1.06297736374155,0.661,0.376,0,1,Rwdd1
298,0,1.06110917284817,0.652,0.288,0,1,Saraf
299,0,1.05788350524034,0.479,0.043,0,1,Tnfrsf25
