,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
129,2.78259420808822e-51,0.711561756719815,0.72,0.555,5.01395650355416e-47,0,IVNS1ABP
340,1.90161108453175e-35,0.696644682813186,0.821,0.627,3.42651301321776e-31,0,SPECC1
192,1.28834843827752e-43,0.695429429027959,0.9,0.814,2.32147505093226e-39,0,AVPI1
584,5.69512592070878e-31,0.694017785201978,0.588,0.336,1.02620473965252e-26,0,CFP
293,3.31499169142255e-37,0.693023284916635,0.596,0.436,5.97328352877429e-33,0,FAS
77,6.01930182483387e-61,0.686195256730264,0.653,0.494,1.08461799581682e-56,0,PNKD
288,2.46024505697089e-37,0.682369851256446,0.435,0.292,4.43311556815585e-33,0,AI987944
103,8.12054264146261e-55,0.68207809326861,0.558,0.363,1.46324057856515e-50,0,UBE2E2
48,5.85857763836345e-67,0.682017050113608,0.989,0.888,1.05565710465671e-62,0,TMEM176A
111,4.2369761346342e-54,0.678563695601278,0.584,0.477,7.63460729699736e-50,0,FMR1
117,1.29750973781273e-52,0.673896284444851,0.609,0.456,2.33798279656476e-48,0,PDE4DIP
270,5.31055731766594e-38,0.672991468207155,0.469,0.305,9.56909323070226e-34,0,ADGRG6
251,2.68952552205689e-39,0.667858890246777,0.856,0.788,4.84625603819431e-35,0,KDM6B
546,1.56952925838681e-31,0.66479195878303,0.513,0.337,2.8281347706872e-27,0,CD86
108,2.61021013728043e-54,0.660924355475828,0.95,0.846,4.70333764636561e-50,0,NEDD4
619,1.41145004676289e-30,0.656869161636728,0.425,0.272,2.54329183926205e-26,0,PALLD
387,3.69355443573603e-34,0.65601758947149,0.866,0.782,6.65541573775275e-30,0,FILIP1L
151,1.03609857162511e-47,0.655213217099452,0.758,0.635,1.86694601621128e-43,0,MAN1A
115,1.76949087621931e-53,0.650650650889372,0.434,0.182,3.18844560985958e-49,0,SLC7A10
152,1.48686038665255e-47,0.647330576690421,0.36,0.127,2.67917373070923e-43,0,CHST1
178,1.55706199544081e-44,0.646491569843506,0.807,0.644,2.8056700095848e-40,0,TSPAN13
127,1.95251872314269e-51,0.645624565801709,0.671,0.576,3.51824348723081e-47,0,SMAD4
171,1.96809719998339e-45,0.640248179646463,0.71,0.587,3.54631434465006e-41,0,COP1
186,4.51154058533126e-44,0.638630759227122,0.749,0.586,8.12934498070839e-40,0,DPP4
72,1.20750406890076e-61,0.638539704137788,0.994,0.94,2.17580158175228e-57,0,S100A4
226,2.26947434917272e-41,0.633100743006254,0.806,0.75,4.08936582977432e-37,0,TXNRD1
349,3.47687340330787e-35,0.632569380817983,0.628,0.47,6.26497818542045e-31,0,MARVELD1
165,8.48326187308671e-46,0.631415983853593,0.568,0.39,1.52859895691149e-41,0,FUT8
304,1.13808159339289e-36,0.630793450785693,0.757,0.64,2.05070922313465e-32,0,RBPMS
352,3.94869279439244e-35,0.622935053613998,0.596,0.466,7.11514954621574e-31,0,EVI2A
6993,2.79685968259678e-07,0.619946836756124,0.223,0.251,0.00503966146207113,0,HSPB1
