,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene_name
JOSD2,1.52802953402568e-15,-0.454648720562988,0.03,0.28,2.62759958671056e-11,JOSD2
MED7,1.53570832037187e-15,0.176275644322874,0.09,0.172,2.64080402771146e-11,MED7
RNF6,1.54640751773736e-15,-0.00230552886439694,0.119,0.281,2.65920236750116e-11,RNF6
ILVBL,1.55354554635562e-15,0.129412847365359,0.067,0.134,2.67147692151313e-11,ILVBL
RNPEP,1.57309832291648e-15,0.270727597088498,0.082,0.146,2.70509987608718e-11,RNPEP
SRGAP2,1.59927806378086e-15,0.558860507207068,0.119,0.098,2.75011855847757e-11,SRGAP2
ZFP664,1.60908929637286e-15,0.0774099682012674,0.06,0.179,2.76698995404277e-11,ZFP664
SMYD2,1.6535488238095e-15,-0.00354405585747841,0.075,0.214,2.84344255742282e-11,SMYD2
ZFP467,1.66445836792569e-15,-0.487304721718806,0.052,0.319,2.86220260948502e-11,ZFP467
C1D,1.66544759373535e-15,-0.433862361443171,0.06,0.322,2.86390368218732e-11,C1D
PLD2,1.71184012454928e-15,0.400336815036671,0.082,0.106,2.94368027817494e-11,PLD2
GPRASP2,1.80765094565784e-15,0.112794664496518,0.075,0.192,3.10843656615322e-11,GPRASP2
9130401M01RIK,1.82049392615788e-15,-0.310337219396568,0.03,0.237,3.13052135542109e-11,9130401M01RIK
AKNA,1.83537695451834e-15,0.218410988722306,0.075,0.152,3.15611421098974e-11,AKNA
POLR2K,1.83914853693372e-15,-0.455236180884973,0.03,0.281,3.16259982411123e-11,POLR2K
BZW2,1.85193294062626e-15,0.118222070578295,0.09,0.205,3.18458388470092e-11,BZW2
BAD,1.85711919614871e-15,-0.458738746763324,0,0.224,3.19350216969732e-11,BAD
NOC2L,1.88317230400018e-15,0.034465253200842,0.052,0.174,3.23830309395871e-11,NOC2L
TRMT1,1.90016395269624e-15,0.267003226851213,0.097,0.151,3.26752193305645e-11,TRMT1
ABCD3,1.95539049168846e-15,0.243158213649426,0.067,0.132,3.36248948950747e-11,ABCD3
MRPS6,1.96569654177798e-15,-0.327407193086334,0.06,0.293,3.38021177324142e-11,MRPS6
CAPN2,1.9989780978013e-15,0.119397040265668,0.045,0.141,3.43744273697911e-11,CAPN2
H2AFX,2.00199165616253e-15,-0.993676520689476,0.03,0.312,3.44262485193708e-11,H2AFX
SOX4,2.01514909290741e-15,-0.474477490499777,0.119,0.411,3.46525038016358e-11,SOX4
ASL,2.0849094472217e-15,-0.174511664749519,0.06,0.252,3.58521028544244e-11,ASL
CNOT10,2.08869731443721e-15,0.446971103012846,0.127,0.132,3.59172390190623e-11,CNOT10
PHRF1,2.10079562440957e-15,0.262849082932833,0.119,0.183,3.61252815573469e-11,PHRF1
CREBL2,2.11274908337332e-15,0.369493697895085,0.097,0.128,3.63308332376876e-11,CREBL2
ALAS1,2.13060911668663e-15,0.108204372532882,0.067,0.167,3.66379543705433e-11,ALAS1
MAPRE2,2.16803133021879e-15,0.445870446768006,0.239,0.296,3.72814667544423e-11,MAPRE2
FERMT3,2.17525658936843e-15,-0.203553403646544,0.075,0.279,3.74057123107794e-11,FERMT3
TRAPPC11,2.17897308631645e-15,0.220819586981022,0.112,0.197,3.74696211922976e-11,TRAPPC11
SIAH2,2.19202358790345e-15,-0.210982773812018,0.09,0.309,3.76940376175877e-11,SIAH2
MCU,2.20357552544802e-15,0.419030036803361,0.097,0.121,3.78926847356042e-11,MCU
