,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
145,1.9479140727681e-29,1.21881080596412,0.669,0.167,3.34963303953202e-25,4,RAB38
146,1.16569807794371e-30,1.21626482275053,0.763,0.261,2.004534414832e-26,4,PLD4
147,3.41231909574286e-17,1.21622083451125,0.797,0.48,5.86782391703942e-13,4,LGALS1
148,6.6823989393864e-20,1.18827813471989,0.602,0.203,1.14910532161689e-15,4,IGKC
149,1.63951913894533e-26,1.15073528973647,0.788,0.42,2.8193171113304e-22,4,MED30
150,2.2635090268219e-18,1.11039170922152,0.407,0.083,3.89233012252294e-14,4,KRT8
151,9.6776799719425e-50,4.57147548016824,0.469,0.012,1.66417384797523e-45,5,IL22
152,1.83459733179391e-137,3.44365077060988,0.98,0.425,3.1547735717528e-133,5,ODC1
153,1.0188195512322e-93,2.88707955607404,0.99,0.482,1.75196210029888e-89,5,LY6E
154,2.79061102073251e-64,2.74317914644928,0.888,0.564,4.79873471125162e-60,5,DNAJB1
155,7.83261235736373e-76,2.70990062204474,0.949,0.505,1.34689602097227e-71,5,S100A10
156,6.64301666004031e-87,2.65263602423533,0.847,0.146,1.14233314486053e-82,5,EMB
157,3.27453332026235e-96,2.62402904722054,1,0.791,5.63088749752314e-92,5,DNAJA1
158,8.08840451453431e-39,2.54299058887,0.541,0.11,1.39088204031932e-34,5,RGCC
159,1.73090449095358e-90,2.43878986216319,0.929,0.371,2.97646336264378e-86,5,IL7R
160,4.18881832125893e-57,2.38316000630123,0.776,0.13,7.20309198523685e-53,5,CKB
161,5.73930959906117e-40,2.37434107768829,0.408,0.017,9.86931678654559e-36,5,LY6A
162,4.10886915372979e-87,2.34867214283718,0.939,0.464,7.06561139675376e-83,5,SHISA5
163,2.24829921856865e-56,2.23000575645377,0.724,0.214,3.86617533625065e-52,5,CEBPB
164,1.83691677861515e-76,2.18608755285475,0.735,0.231,3.15876209250662e-72,5,SPTSSA
165,2.94704662532782e-35,2.17445938730975,0.898,0.553,5.06774137691372e-31,5,HSPA1B
166,5.7789867712083e-27,2.14548532543418,0.643,0.276,9.93754565176979e-23,5,RASL11A
167,5.88657559793352e-43,2.12736523932087,0.612,0.256,1.01225553982065e-38,5,CD69
168,2.30178222680467e-29,2.0424454728137,0.888,0.68,3.95814471721332e-25,5,HSPA1A
169,6.24411017874567e-46,2.04111972694941,0.673,0.14,1.07373718633711e-41,5,ERN1
170,7.49696544300985e-71,2.02380117646833,0.755,0.38,1.28917817757997e-66,5,IFNGR1
