p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.000111702720826413,-0.262981115986747,0.218,0.303,1,1,TMCO1
0.000111877638708759,0.263864194411317,0.508,0.365,1,1,FUCA1
0.000112122398042721,-0.230469068458206,0.113,0.213,1,1,PHTF2
0.000112339553068492,0.18990981677842,0.102,0.034,1,1,MAB21L3
0.000113136771284487,-0.276511107925477,0.417,0.487,1,1,PBRM1
0.000113149858914592,0.0982644058691316,0.12,0.049,1,1,CPT2
0.000113735141472357,-0.153632202973368,0.162,0.169,1,1,PQBP1
0.000114177653615507,-0.267212748962182,0.256,0.375,1,1,GTF2A2
0.000114341269499512,-0.198654165700705,0.169,0.193,1,1,EIF1A
0.000115656336997431,-0.250759496082941,0.523,0.555,1,1,HNRNPDL
0.000116112787623871,-0.238370568508255,0.045,0.126,1,1,NCAPD2
0.000116564685437122,-0.30124722935471,0.241,0.327,1,1,ATP1B3
0.000116595979046632,0.254623751463608,0.88,0.81,1,1,NSA2
0.000117466567431816,0.178434788050088,0.966,0.933,1,1,ITM2B
0.000118279749626132,0.0830471431848889,0.135,0.065,1,1,NSDHL
0.000119185469282965,-0.285481055328041,0.113,0.208,1,1,CARD11
0.000119251426678118,0.122067215368606,0.188,0.099,1,1,INSIG1
0.00011937899427634,0.215267995342433,0.545,0.401,1,1,MRPL43
0.000119468318375961,-0.256677628786613,0.297,0.354,1,1,SUPT20
0.000119721312827548,0.275858153580749,0.162,0.083,1,1,IGSF8
0.000119760727779184,-0.0200167066040368,0.169,0.128,1,1,SPHK2
0.000120370906633249,0.151360332663762,0.421,0.293,1,1,MAP3K14
0.000121736037652347,0.311867709190826,0.575,0.435,1,1,DNAJC15
0.000122119031887149,-0.296539537241703,0.199,0.287,1,1,HEXIM1
0.000123097213351773,-0.253490795559012,0.353,0.42,1,1,TXN2
0.000123911862813683,0.164126072635839,0.218,0.118,1,1,PTPN9
0.000124437455931336,-0.206905930978287,0.068,0.16,1,1,NCALD
0.000125974185881206,0.168510786305917,0.357,0.23,1,1,FBXO6
0.000126007368013866,-0.276287908511549,0.162,0.254,1,1,STAG1
0.000126954332782627,0.0238175502969802,0.387,0.289,1,1,CRYBG1
0.000127172556911252,-0.25626263296431,0.278,0.321,1,1,TRAPPC6A
0.000127657008724025,0.186200370290063,0.278,0.165,1,1,PPP1R9B
0.000128504961801909,-0.00493049292534176,0.406,0.326,1,1,PON2
0.000128551739585511,-0.263159442183854,0.124,0.19,1,1,BC005561
0.000129983973671842,0.12688493188595,0.271,0.169,1,1,KHNYN
0.000132001497848785,0.131272384770853,0.353,0.235,1,1,TMED4
0.000132084209930534,0.0795405277254209,0.327,0.234,1,1,NRBP1
0.000133164530509225,-0.140278291772051,0.748,0.703,1,1,CANX
0.00013330359384053,-0.289800412139028,0.624,0.688,1,1,EIF4A1
0.000134575063071073,0.149855685134965,0.5,0.368,1,1,SKIL
0.000134795509603903,-0.247799217715804,0.053,0.115,1,1,AZIN2
0.000135377767926676,-0.12389590978925,0.365,0.343,1,1,PRPSAP1
0.000135394550496923,-0.189539695163837,0.32,0.33,1,1,SNRPA
0.000135587915032226,-0.312841481899034,0.327,0.407,1,1,PTBP1
0.000135877268714262,-0.141134526251529,0.335,0.321,1,1,FZR1
0.000135892649604288,0.146002370854532,0.229,0.132,1,1,RBP1
0.000136670171342322,0.16564338932542,0.417,0.293,1,1,CNPY2
