,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene_name
IFI203,1.9324432771271e-15,0.770874046307354,0.119,0.074,3.32302945934776e-11,IFI203
DENND1B,1.95381094563655e-15,0.668160180261168,0.157,0.073,3.3597733021166e-11,DENND1B
DCP2,1.9794059182668e-15,0.28433328649481,0.119,0.173,3.40378641705159e-11,DCP2
PYGL,1.98699926059957e-15,0.492559192477983,0.418,0.469,3.41684392852702e-11,PYGL
GUCD1,2.00285864777109e-15,0.131248189192482,0.201,0.334,3.44411573070716e-11,GUCD1
SMAGP,2.01316464777872e-15,-0.803005031917874,0.03,0.3,3.46183792832029e-11,SMAGP
LSM4,2.01740748503296e-15,-0.504609886241432,0.052,0.307,3.46913391126267e-11,LSM4
SNX13,2.05565910231723e-15,0.50994385743985,0.104,0.069,3.53491139234471e-11,SNX13
TMEM260,2.05658419940025e-15,0.49555320042532,0.112,0.087,3.53650218928868e-11,TMEM260
RPS6KB1,2.125179843627e-15,0.414095204963818,0.09,0.108,3.65445925910099e-11,RPS6KB1
ANAPC16,2.1339734288447e-15,-0.172891245092418,0.067,0.242,3.66958070824134e-11,ANAPC16
MRPS18A,2.15937187245456e-15,0.0551714741512437,0.082,0.187,3.71325587187286e-11,MRPS18A
TM2D1,2.19257255081512e-15,-0.269296100492223,0.067,0.278,3.77034775838168e-11,TM2D1
VPS13D,2.19594998616548e-15,0.573448099692361,0.164,0.125,3.77615559621016e-11,VPS13D
CCT3,2.21673544435283e-15,-0.0318240032999842,0.119,0.278,3.81189827010912e-11,CCT3
EXOSC8,2.24404254007598e-15,0.0759988731797758,0.037,0.116,3.85885555191465e-11,EXOSC8
PRELID3B,2.2728720289826e-15,-0.18400496923791,0.052,0.232,3.90843074103847e-11,PRELID3B
NAGK,2.31124844583055e-15,0.00984459582667385,0.127,0.273,3.97442282745021e-11,NAGK
DGUOK,2.32722959229608e-15,-0.0329271108047847,0.06,0.196,4.00190400691233e-11,DGUOK
CDK8,2.33721824304893e-15,0.56286702878562,0.127,0.055,4.01908049074693e-11,CDK8
SCAMP3,2.35827470352426e-15,0.313884731394211,0.134,0.176,4.05528918018031e-11,SCAMP3
ARL5A,2.41781226168311e-15,-0.352634905525375,0.067,0.298,4.15766996519028e-11,ARL5A
VPS72,2.43520783381327e-15,0.016788910098937,0.104,0.239,4.18758339102531e-11,VPS72
MTA3,2.44620215674698e-15,0.193831136381359,0.067,0.126,4.20648922874211e-11,MTA3
NDUFS7,2.4888762372417e-15,-0.504232325646321,0.052,0.309,4.27987157756083e-11,NDUFS7
NHP2,2.49985355483947e-15,-0.261286333618904,0.052,0.248,4.29874817290196e-11,NHP2
UBE2D1,2.5105928903381e-15,0.283771184751482,0.149,0.214,4.31721553422539e-11,UBE2D1
BCL3,2.55385559206715e-15,-0.104441553340948,0.172,0.384,4.39161007611868e-11,BCL3
RNASEH2C,2.570454443064e-15,-0.618887013584247,0.007,0.247,4.42015346029286e-11,RNASEH2C
PPP1CC,2.57783043869884e-15,-0.151530032834402,0.157,0.372,4.43283722238653e-11,PPP1CC
TRMT6,2.58230315969042e-15,0.30257790414337,0.075,0.114,4.44052851340364e-11,TRMT6
GNL2,2.59478844585294e-15,-0.51345768849236,0.142,0.434,4.46199821148871e-11,GNL2
PDIA4,2.62048382816989e-15,0.734692503928846,0.239,0.135,4.50618399092094e-11,PDIA4
9030624J02RIK,2.62287858758316e-15,0.0644731564613964,0.09,0.202,4.510302019208e-11,9030624J02RIK
LIMA1,2.71051501273772e-15,0.36926874328691,0.224,0.34,4.66100161590378e-11,LIMA1
ANKHD1,2.71848478987546e-15,0.397206320850352,0.209,0.247,4.67470644466984e-11,ANKHD1
APOL10B,2.81374071246625e-15,-0.541705318683381,0.06,0.312,4.83850852915697e-11,APOL10B
PPIL2,2.82541459161253e-15,-0.0305467463027561,0.119,0.286,4.85858293173691e-11,PPIL2
PFKFB3,2.85839835195474e-15,-0.529109107073468,0.403,0.728,4.91530180602138e-11,PFKFB3
FZR1,2.86996192940719e-15,0.0728808146946139,0.104,0.219,4.9351865338086e-11,FZR1
TULP4,2.8980390326315e-15,0.481668876062635,0.134,0.113,4.98346792051312e-11,TULP4
CTSZ,2.90779163161586e-15,-0.0193373142900408,0.612,0.852,5.00023848972663e-11,CTSZ
SPINT1,2.94502861098663e-15,0.373361505001756,0.09,0.11,5.06427119945261e-11,SPINT1
P2RX4,2.95832717720421e-15,0.533388725962599,0.149,0.113,5.08713941392035e-11,P2RX4
NAP1L4,2.99440330494854e-15,0.126766947430999,0.119,0.228,5.14917592318951e-11,NAP1L4
OGT,3.02022962423268e-15,0.521218700676224,0.164,0.138,5.19358686183051e-11,OGT
2210016L21RIK,3.0695637210432e-15,-0.402194640764465,0.037,0.259,5.27842177470589e-11,2210016L21RIK
CCDC107,3.08799053855235e-15,0.159198089941958,0.082,0.159,5.31010853009462e-11,CCDC107
CCR7,3.08932085141077e-15,-0.326403431063738,0.679,0.924,5.31239613608597e-11,CCR7
GRPEL1,3.0933834153524e-15,-0.467962434510031,0.03,0.264,5.31938212103999e-11,GRPEL1
ELF2,3.16873934811629e-15,0.183449648800781,0.119,0.22,5.44896418302078e-11,ELF2
MDM4,3.18591801006704e-15,0.670098249251325,0.269,0.221,5.47850461011128e-11,MDM4
NUMA1,3.20412497593085e-15,0.320904765486153,0.172,0.253,5.50981330861069e-11,NUMA1
PPM1B,3.25714053017592e-15,0.252016990155593,0.09,0.147,5.60097885569051e-11,PPM1B
SAR1A,3.27064864206229e-15,-0.407907737514266,0.075,0.321,5.62420740489032e-11,SAR1A
ANXA11,3.28618355002157e-15,0.0383789738164558,0.112,0.237,5.6509212326171e-11,ANXA11
NBDY,3.31344998734346e-15,-0.0819219747057094,0.075,0.237,5.69780859823581e-11,NBDY
COPS8,3.3370103881824e-15,0.217887591736358,0.09,0.142,5.73832306351845e-11,COPS8
PSMD3,3.33864186535504e-15,0.065917886433437,0.119,0.24,5.74112855166453e-11,PSMD3
USP15,3.35231077400723e-15,0.544767435907602,0.231,0.207,5.76463360698283e-11,USP15
PGGT1B,3.38306576460759e-15,0.574277995691907,0.172,0.108,5.81751988881921e-11,PGGT1B
MTCH2,3.38822529221031e-15,0.0731345235130608,0.119,0.245,5.82639221248484e-11,MTCH2
RWDD1,3.40141620588551e-15,-0.604228165315081,0.03,0.284,5.84907530764072e-11,RWDD1
4833420G17RIK,3.41322749387698e-15,0.449951283306793,0.149,0.135,5.86938599847086e-11,4833420G17RIK
SMARCAD1,3.42158649415773e-15,0.343916241414932,0.119,0.158,5.88376013535363e-11,SMARCAD1
MMP23,3.43462213280465e-15,0.150519674702514,0.216,0.343,5.90617621957088e-11,MMP23
DERL2,3.45033887554923e-15,-0.174126901298739,0.09,0.277,5.93320273039446e-11,DERL2
GTPBP2,3.46310216081484e-15,0.306865055321175,0.231,0.314,5.95515047573721e-11,GTPBP2
ARHGAP5,3.4763417590651e-15,0.0615386000884529,0.119,0.254,5.97791728888834e-11,ARHGAP5
HSPA14,3.49188823269696e-15,0.316156067144942,0.075,0.11,6.0046510049457e-11,HSPA14
RFX7,3.50358702026829e-15,0.605234305654984,0.127,0.07,6.02476824005335e-11,RFX7
CPSF7,3.59720617487376e-15,0.339892344375226,0.119,0.145,6.18575573831291e-11,CPSF7
SF3B3,3.60870740250991e-15,0.366275280025483,0.179,0.227,6.20553324935604e-11,SF3B3
IL10RB,3.67437599509592e-15,-0.124745818079519,0.112,0.294,6.31845696116694e-11,IL10RB
NSMCE4A,3.70483473050851e-15,-0.444883440723973,0.022,0.24,6.37083380258243e-11,NSMCE4A
CDC73,3.74653509615189e-15,0.568389906140567,0.134,0.084,6.44254175134278e-11,CDC73
CSNK1D,3.7809920768034e-15,0.0145841253764772,0.127,0.273,6.50179397527112e-11,CSNK1D
ZFP597,3.84353147836594e-15,0.591542119473364,0.127,0.059,6.60933673019807e-11,ZFP597
NCK1,3.90663300300309e-15,-0.306477595863776,0.075,0.294,6.71784611196412e-11,NCK1
NELFB,3.92274425239208e-15,0.0624486801044189,0.067,0.175,6.74555101641342e-11,NELFB
NCBP2,3.92522180517717e-15,0.219898840335188,0.067,0.11,6.74981141618267e-11,NCBP2
GTPBP4,3.93400731373074e-15,-0.00529122691369932,0.306,0.521,6.76491897669137e-11,GTPBP4
BRWD3,3.93936922056181e-15,0.569733179785751,0.127,0.069,6.77413931167808e-11,BRWD3
SLAIN2,4.07599744572102e-15,0.180372623286927,0.112,0.208,7.00908520766186e-11,SLAIN2
ZFP451,4.10599865997956e-15,0.489779324204508,0.157,0.149,7.06067529570086e-11,ZFP451
FRG1,4.13874495370499e-15,-0.205660503425012,0.082,0.272,7.1169858223911e-11,FRG1
OSGEP,4.14595985032347e-15,-0.0874927151649942,0.037,0.177,7.12939255861624e-11,OSGEP
ELMO2,4.16711679336528e-15,0.460681763330132,0.127,0.101,7.16577403787094e-11,ELMO2
NAA38,4.22400871234679e-15,-0.516354406880141,0.037,0.284,7.26360538175154e-11,NAA38
ANP32E,4.29496260072939e-15,0.0758560889073695,0.104,0.241,7.38561768821426e-11,ANP32E
SEC24C,4.29732133269134e-15,0.334077699578443,0.09,0.118,7.38967376369602e-11,SEC24C
GNG10,4.3337845385656e-15,-0.455870971773639,0.067,0.313,7.45237589251741e-11,GNG10
SMC1A,4.41540300615856e-15,-0.0264755764293318,0.104,0.269,7.59272700939026e-11,SMC1A
TIMM17B,4.44831192444554e-15,-0.247342980077473,0.045,0.227,7.64931718527656e-11,TIMM17B
BCOR,4.45802369575013e-15,0.593618272356363,0.172,0.138,7.66601754721192e-11,BCOR
SUPT6,4.46528495483839e-15,0.110422017069556,0.209,0.349,7.6785040083401e-11,SUPT6
ERN1,4.53644898255882e-15,1.058177860467,0.194,0.082,7.80087767040815e-11,ERN1
USP6NL,4.56156266063844e-15,0.623286246890969,0.119,0.053,7.84406315123386e-11,USP6NL
EBP,4.57642129579822e-15,-0.0133423925257048,0.09,0.223,7.86961406025462e-11,EBP
EIF5B,4.57706116415506e-15,0.159982418459614,0.149,0.275,7.87071437788104e-11,EIF5B
RSBN1,4.58272145601145e-15,0.589819036772106,0.142,0.129,7.8804478157573e-11,RSBN1
ATXN2L,4.8449122503213e-15,0.0596842172483747,0.112,0.237,8.33131110565251e-11,ATXN2L
FBXO38,4.89214050484149e-15,0.356026084282927,0.142,0.168,8.41252481212543e-11,FBXO38
COL4A3BP,4.90061354062602e-15,0.533907607535528,0.149,0.125,8.42709504446051e-11,COL4A3BP
SNRNP40,4.98520253714431e-15,0.187403119644077,0.097,0.173,8.57255428287336e-11,SNRNP40
TADA3,5.03391864401821e-15,0.372708139215377,0.097,0.106,8.65632650025372e-11,TADA3
ANKRD13A,5.03834277294006e-15,0.183708386907959,0.119,0.209,8.66393423234773e-11,ANKRD13A
LSM5,5.07508168226297e-15,-0.581548389476568,0.022,0.274,8.7271104608194e-11,LSM5
ABTB2,5.09462770149236e-15,0.689870109509561,0.134,0.031,8.76072179548627e-11,ABTB2
CHCHD1,5.13430466750262e-15,-0.534446962120902,0.037,0.288,8.82895030623751e-11,CHCHD1
KPNA3,5.17248466544097e-15,-0.156718825210106,0.142,0.351,8.89460463069228e-11,KPNA3
NCSTN,5.19933656007208e-15,0.326386831489409,0.157,0.189,8.94077914869995e-11,NCSTN
COPZ1,5.21859699566797e-15,-0.357130065470117,0.067,0.296,8.97389939375065e-11,COPZ1
S100A6,5.22714199415938e-15,-0.921187295752757,0.269,0.608,8.98859337315647e-11,S100A6
TBCK,5.23134283819156e-15,0.52380301365633,0.119,0.087,8.9958171445542e-11,TBCK
KDM4B,5.25801885099497e-15,0.44025887482923,0.112,0.121,9.04168921617094e-11,KDM4B
GCNT2,5.27216968278207e-15,0.68920898298245,0.164,0.145,9.06602298651204e-11,GCNT2
TUSC3,5.38260111996547e-15,0.383945139297499,0.104,0.109,9.25592088589263e-11,TUSC3
TAF4B,5.39401372842542e-15,0.75007547437424,0.127,0.033,9.27554600740035e-11,TAF4B
ASPSCR1,5.50798850321554e-15,-0.399023374512942,0.03,0.243,9.47153703012945e-11,ASPSCR1
SDCCAG3,5.53623039530575e-15,0.284508476296193,0.112,0.145,9.52010178776776e-11,SDCCAG3
FOXK1,5.53721726735169e-15,0.435969178916896,0.104,0.103,9.52179881293797e-11,FOXK1
SOD1,5.55780353751285e-15,-0.289046398406878,0.104,0.33,9.55719896310709e-11,SOD1
P4HA1,5.64703862359799e-15,0.633544838363586,0.127,0.107,9.71064761713910e-11,P4HA1
