,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
4342,5.12806276610819e-61,1.18785208594079,0.985,0.83,8.81821673259964e-57,1,TMEM123
4372,1.16004713433975e-49,1.18635993747881,0.726,0.357,1.99481705221064e-45,1,GSTO1
4358,1.86397295304302e-52,1.17492568710526,0.861,0.665,3.20528789005277e-48,1,TXN1
4380,4.69321374871233e-47,1.17403153657119,0.316,0.017,8.07045036228572e-43,1,PPP1R1A
4352,1.10578117778138e-56,1.1731829062139,0.88,0.501,1.90150131331286e-52,1,SELPLG
4355,6.66023597995945e-54,1.14418034667816,0.65,0.175,1.14529417911383e-49,1,DBP
4382,4.90182778853486e-46,1.13981055345564,0.523,0.108,8.42918306516454e-42,1,DNASE1L3
4496,9.58688455779766e-28,1.13414353333301,0.365,0.097,1.64856066855889e-23,1,GNGT2
4353,1.81542046466717e-55,1.11730051881515,0.932,0.531,3.12179703104167e-51,1,ETV3
4391,2.61620111762249e-43,1.11662410280348,0.816,0.483,4.49881944186363e-39,1,NANS
4376,2.08882474901229e-48,1.11321289433701,0.56,0.126,3.59194303840153e-44,1,RAB38
4410,2.69909903526843e-39,1.11085733537686,0.692,0.309,4.6413707010476e-35,1,NSMCE3
4438,1.10035047461027e-33,1.1088383127329,1,0.965,1.89216267613982e-29,1,H2AFZ
4331,1.07885279019385e-67,1.10489917495299,0.868,0.499,1.85519525801734e-63,1,SCAMP2
4345,2.79157599648924e-60,1.10472670063661,1,0.975,4.8003940835629e-56,1,CALM1
4363,5.72867891766372e-52,1.10266226759777,0.97,0.847,9.85103626681453e-48,1,SQSTM1
4356,8.65905336407868e-53,1.09902441064433,0.692,0.248,1.48901081648697e-48,1,GFER
4636,1.30212824193454e-21,1.09883769339747,0.575,0.257,2.23913972483063e-17,1,H2-M2
4404,1.72429546232737e-40,1.0835999819442,0.68,0.296,2.96509847701815e-36,1,RAB9
4881,4.84970101844521e-15,1.07488019976262,0.662,0.478,8.33954587131838e-11,1,TM4SF5
4476,1.1201476692393e-29,1.07375140396418,0.774,0.513,1.92620593202391e-25,1,TUBB2A
4392,3.5754750829068e-43,1.06229900160742,0.876,0.58,6.14838695256653e-39,1,NCF1
4415,9.25900214691271e-39,1.05946859071473,0.985,0.906,1.59217800918311e-34,1,CST3
4335,7.16878534567638e-64,1.05484233535838,0.974,0.787,1.23274432804251e-59,1,PSMB8
4395,6.95535947688747e-42,1.04642828301137,0.842,0.57,1.19604361564557e-37,1,FAM32A
4959,8.81480031421499e-14,1.0371929668627,0.102,0.008,1.51579306203241e-09,1,IL2
4346,4.8325356335937e-60,1.03610141106579,0.989,0.922,8.31002827552773e-56,1,S100A11
4378,1.38323128042371e-47,1.03451732622055,0.387,0.04,2.37860450981661e-43,1,ITGB8
4366,3.97501084629322e-51,1.0262367393974,0.917,0.633,6.83542865128582e-47,1,H2-T23
